metric,count,percent
NFIP policies,171300.0,100.0
matched,92146.0,53.79
1_zip_exact_year_risk,79304.0,46.3
2_community_exact_year_risk,2503.0,1.46
3_community_5yr_risk_postfirm,8674.0,5.06
4_community_decade_risk_postfirm,1665.0,0.97
mean ATTOM value lag,0.6667788075445489,
median ATTOM value lag,0.0,
maximum ATTOM value lag,20.0,
