metric,count,percent
NFIP policies,42221.0,100.0
matched,10257.0,24.29
1_zip_exact_year_risk,6248.0,14.8
2_community_exact_year_risk,521.0,1.23
3_community_5yr_risk_postfirm,2407.0,5.7
4_community_decade_risk_postfirm,1081.0,2.56
mean ATTOM value lag,0.4963439602222872,
median ATTOM value lag,0.0,
maximum ATTOM value lag,15.0,
